t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
4.349999999999999978e-01,1.234725201129889260e-01,6.173626005649446487e+09,9.891239333306294232e-10,-8.463982630228091225e-09,-4.231991315113846213e+02,9.711970592224555832e-02,2.635281419074336773e-02,2.111093156827632081e-10
4.400000000000000022e-01,1.232117309348055023e-01,6.160586546740275383e+09,9.870347816922016840e-10,-8.252125804652782196e-09,-4.126062902326229960e+02,9.700831798872064371e-02,2.620341294608485860e-02,2.099124797663512932e-10
4.450000000000000067e-01,1.229574629320556167e-01,6.147873146602781296e+09,9.849978704283031958e-10,-8.046007644052397364e-09,-4.023003822026221314e+02,9.689957611302091323e-02,2.605788681903470350e-02,2.087466869643699287e-10
4.500000000000000111e-01,1.227095386375701702e-01,6.135476931878508568e+09,9.830117778701755333e-10,-7.845317110379100290e-09,-3.922658555189700564e+02,9.679345076674911175e-02,2.591608787082105847e-02,2.076107521566015125e-10
4.550000000000000155e-01,1.224677967526910799e-01,6.123389837634553909e+09,9.810752118731135332e-10,-7.649685509098844144e-09,-3.824842754549463280e+02,9.668989932811149213e-02,2.577789742457958777e-02,2.065037246365509358e-10
4.600000000000000200e-01,1.222320828223520534e-01,6.111604141117602348e+09,9.791869351156260996e-10,-7.459067659701227210e-09,-3.729533829850552138e+02,9.658887207810684661e-02,2.564321074424520674e-02,2.054247653758370635e-10
4.650000000000000244e-01,1.220022383678406735e-01,6.100111918392033577e+09,9.773456780432630354e-10,-7.273490229038230760e-09,-3.636745114518998889e+02,9.649032487983209838e-02,2.551191348800857517e-02,2.043729583955838793e-10
4.700000000000000289e-01,1.217781072696766248e-01,6.088905363483831406e+09,9.755501900011070008e-10,-7.092721020942535377e-09,-3.546360510471276939e+02,9.639421853200168255e-02,2.538388873767494225e-02,2.033473670777927302e-10
4.750000000000000333e-01,1.215595455416923487e-01,6.077977277084617615e+09,9.737993175327917115e-10,-6.916476129993233261e-09,-3.458238064996694447e+02,9.630050777537085827e-02,2.525903776632149045e-02,2.023472005326192089e-10
4.799999999999999822e-01,1.213464147843901775e-01,6.067320739219509125e+09,9.720919519361104206e-10,-6.744699904199113365e-09,-3.372349952099466464e+02,9.620914042444440872e-02,2.513727435994576875e-02,2.013717681097620702e-10
4.849999999999999867e-01,1.211385744851266183e-01,6.056928724256330490e+09,9.704269675806922061e-10,-6.577395646060745388e-09,-3.288697823030524887e+02,9.612006733141972847e-02,2.501850715370688982e-02,2.004203378961551181e-10
4.899999999999999911e-01,1.209358860382781092e-01,6.046794301913905144e+09,9.688032541130799155e-10,-6.414384453410526570e-09,-3.207192226705665234e+02,9.603324360953921501e-02,2.490264242873889422e-02,1.994921591209123116e-10
4.949999999999999956e-01,1.207382200973961539e-01,6.036911004869807243e+09,9.672197753539863869e-10,-6.255432225407700432e-09,-3.127716112703928957e+02,9.594862446173907378e-02,2.478959563565708013e-02,1.985865544687907542e-10
5.000000000000000000e-01,1.205454526682825239e-01,6.027272633414126396e+09,9.656755380003759693e-10,-6.100471854050982113e-09,-3.050235927025205456e+02,9.586570656763261644e-02,2.467974610064990748e-02,1.977065626775694382e-10
5.050000000000000044e-01,1.203574585930406449e-01,6.017872929652031898e+09,9.641695394269611275e-10,-5.949498772099756503e-09,-2.974749386049661553e+02,9.578459337282480002e-02,2.457286522021584485e-02,1.968503524313054328e-10
5.100000000000000089e-01,1.201741141625369824e-01,6.008705708126849174e+09,9.627007886143260613e-10,-5.802377248475056070e-09,-2.901188624237402109e+02,9.570557699772164195e-02,2.446853716481534047e-02,1.960145925681387075e-10
