t,S10,S11,T1
9.949999999999999956e-01,3.025923633524284055e-03,7.529385958410531260e-04,8.768028507701415564e-02
1.000000000000000000e+00,3.004084813054606895e-03,7.494301700696503511e-04,8.769686428157279223e-02
1.005000000000000115e+00,2.982780052726663727e-03,7.460069982772594803e-04,8.771282255475290612e-02
1.010000000000000009e+00,2.961996158546049279e-03,7.426669716168217287e-04,8.772817525867948607e-02
1.015000000000000124e+00,2.941720263017410034e-03,7.394080342723344202e-04,8.774293737557742334e-02
1.020000000000000018e+00,2.921939821564595134e-03,7.362281791289948529e-04,8.775712351719128224e-02
1.024999999999999911e+00,2.902642599996971794e-03,7.331254475141713890e-04,8.777074793419122056e-02
1.030000000000000027e+00,2.883816662360517112e-03,7.300979308187917002e-04,8.778382452493685428e-02
1.034999999999999920e+00,2.865450366550265256e-03,7.271437693591333408e-04,8.779636684405449365e-02
1.040000000000000036e+00,2.847532361204635921e-03,7.242611488910048008e-04,8.780838811122333720e-02
1.044999999999999929e+00,2.830051576929571919e-03,7.214482986782720783e-04,8.781990121939044214e-02
1.050000000000000044e+00,2.812997215487887323e-03,7.187034918848023190e-04,8.783091874272652699e-02
1.054999999999999938e+00,2.796358743807669626e-03,7.160250456084761052e-04,8.784145294454545616e-02
1.060000000000000053e+00,2.780125890657919856e-03,7.134113190883841372e-04,8.785151578517814974e-02
1.064999999999999947e+00,2.764288640189455862e-03,7.108607115904972545e-04,8.786111892932323142e-02
1.070000000000000062e+00,2.748837222912956825e-03,7.083716614587038480e-04,8.787027375324527045e-02
1.074999999999999956e+00,2.733762109129490858e-03,7.059426458852661535e-04,8.787899135215208879e-02
1.080000000000000071e+00,2.719054005349162348e-03,7.035721803286582206e-04,8.788728254707284249e-02
1.084999999999999964e+00,2.704703849026068342e-03,7.012588172477092442e-04,8.789515789153129477e-02
1.090000000000000080e+00,2.690702800961385869e-03,6.990011446673729005e-04,8.790262767820530843e-02
1.094999999999999973e+00,2.677042239092351956e-03,6.967977851585242192e-04,8.790970194551700478e-02
1.100000000000000089e+00,2.663713754755108083e-03,6.946473953987256479e-04,8.791639048379973342e-02
1.104999999999999982e+00,2.650709148102419008e-03,6.925486657929988280e-04,8.792270284134220959e-02
1.110000000000000098e+00,2.638020421479387451e-03,6.905003194787615126e-04,8.792864833057850715e-02
1.114999999999999991e+00,2.625639773841324711e-03,6.885011109021940039e-04,8.793423603385269738e-02
1.120000000000000107e+00,2.613559597087879681e-03,6.865498248405324131e-04,8.793947480901394276e-02
1.125000000000000000e+00,2.601772471942181975e-03,6.846452762344943732e-04,8.794437329501852973e-02
1.130000000000000115e+00,2.590271162234103648e-03,6.827863099541057893e-04,8.794893991744480444e-02
1.135000000000000009e+00,2.579048609704908540e-03,6.809717996676252450e-04,8.795318289366897690e-02
1.140000000000000124e+00,2.568097930487895156e-03,6.792006463957251695e-04,8.795711023793872929e-02
1.145000000000000018e+00,2.557412411477351117e-03,6.774717779163024660e-04,8.796072976657325071e-02
1.150000000000000133e+00,2.546985505525969050e-03,6.757841489181441123e-04,8.796404910278612932e-02
1.155000000000000027e+00,2.536810826515196581e-03,6.741367405579322359e-04,8.796707568138367739e-02
1.159999999999999920e+00,2.526882145779875410e-03,6.725285590716762515e-04,8.796981675347613494e-02
1.165000000000000036e+00,2.517193389082073886e-03,6.709586346502751861e-04,8.797227939109261707e-02
1.169999999999999929e+00,2.507738632627649292e-03,6.694260213750138303e-04,8.797447049152552767e-02
1.175000000000000044e+00,2.498512098483687393e-03,6.679297973052625509e-04,8.797639678159380194e-02
1.179999999999999938e+00,2.489508150879316071e-03,6.664690636234866248e-04,8.797806482200067058e-02
1.185000000000000053e+00,2.480721293588431312e-03,6.650429433423993330e-04,8.797948101138271249e-02
1.189999999999999947e+00,2.472146166705070040e-03,6.636505807250278567e-04,8.798065159024667792e-02
1.195000000000000062e+00,2.463777542497117001e-03,6.622911414080424669e-04,8.798158264493527447e-02
1.199999999999999956e+00,2.455610321781565800e-03,6.609638121581401992e-04,8.798228011148763461e-02
1.205000000000000071e+00,2.447639531382362742e-03,6.596677998664591570e-04,8.798274977928738361e-02
1.209999999999999964e+00,2.439860321471865913e-03,6.584023306026292460e-04,8.798299729464201246e-02
1.215000000000000080e+00,2.432267962013491113e-03,6.571666493916892291e-04,8.798302816444181218e-02
1.219999999999999973e+00,2.424857839390178772e-03,6.559600202623515038e-04,8.798284775955314552e-02
1.225000000000000089e+00,2.417625453814957904e-03,6.547817257439644953e-04,8.798246131811994497e-02
1.229999999999999982e+00,2.410566416916178501e-03,6.536310659318602355e-04,8.798187394890191748e-02
1.235000000000000098e+00,2.403676448867013860e-03,6.525073578955445592e-04,8.798109063450405831e-02
1.239999999999999991e+00,2.396951375359568977e-03,6.514099356154905021e-04,8.798011623443985352e-02
1.245000000000000107e+00,2.390387125006740963e-03,6.503381498466895066e-04,8.797895548813879085e-02
1.250000000000000000e+00,2.383979727022646124e-03,6.492913675003514134e-04,8.797761301801546030e-02
1.255000000000000115e+00,2.377725308868393339e-03,6.482689709270836537e-04,8.797609333231447282e-02
1.260000000000000009e+00,2.371620093647201603e-03,6.472703575649636689e-04,8.797440082788111904e-02
1.265000000000000124e+00,2.365660397575798570e-03,6.462949398515922253e-04,8.797253979296944248e-02
1.270000000000000018e+00,2.359842627805282603e-03,6.453421449627929924e-04,8.797051440994503591e-02
1.275000000000000133e+00,2.354163280328149845e-03,6.444114142477601250e-04,8.796832875785684513e-02
1.280000000000000027e+00,2.348618937731893237e-03,6.435022026838794519e-04,8.796598681496406447e-02
1.284999999999999920e+00,2.343206266898459518e-03,6.426139786170765840e-04,8.796349246131159039e-02
1.290000000000000036e+00,2.337922016991969120e-03,6.417462236590827955e-04,8.796084948111453083e-02
1.294999999999999929e+00,2.332763017516919189e-03,6.408984323930191646e-04,8.795806156508387263e-02
1.300000000000000044e+00,2.327726176271133988e-03,6.400701118540278465e-04,8.795513231278821731e-02
1.304999999999999938e+00,2.322808477380067325e-03,6.392607810981066610e-04,8.795206523491644335e-02
1.310000000000000053e+00,2.318006979465759426e-03,6.384699710293551380e-04,8.794886375543582713e-02
1.314999999999999947e+00,2.313318813823147298e-03,6.376972242834882693e-04,8.794553121371831428e-02
1.320000000000000062e+00,2.308741182529237823e-03,6.369420948995715330e-04,8.794207086669787732e-02
1.324999999999999956e+00,2.304271356729717043e-03,6.362041478614546570e-04,8.793848589087152612e-02
1.330000000000000071e+00,2.299906675019644780e-03,6.354829587726372768e-04,8.793477938425101059e-02
1.334999999999999964e+00,2.295644541740441465e-03,6.347781137338652209e-04,8.793095436834914846e-02
1.340000000000000080e+00,2.291482425283399710e-03,6.340892092086830448e-04,8.792701379007397677e-02
1.344999999999999973e+00,2.287417856510240259e-03,6.334158516872268399e-04,8.792296052354196811e-02
1.350000000000000089e+00,2.283448427295445109e-03,6.327576572807480171e-04,8.791879737186225618e-02
1.354999999999999982e+00,2.279571789015393153e-03,6.321142514847354066e-04,8.791452706894845037e-02
1.360000000000000098e+00,2.275785651042051220e-03,6.314852691082955324e-04,8.791015228119622438e-02
1.364999999999999991e+00,2.272087779268502049e-03,6.308703541083062177e-04,8.790567560912172784e-02
1.370000000000000107e+00,2.268475994720924819e-03,6.302691592336619880e-04,8.790109958903123688e-02
1.375000000000000000e+00,2.264948172279343704e-03,6.296813456968859300e-04,8.789642669460830116e-02
1.380000000000000115e+00,2.261502239350567448e-03,6.291065830377235053e-04,8.789165933843415268e-02
1.385000000000000009e+00,2.258136174491288169e-03,6.285445490527334861e-04,8.788679987348960165e-02
1.390000000000000124e+00,2.254848006096059690e-03,6.279949295768107002e-04,8.788185059467348847e-02
1.395000000000000018e+00,2.251635811269192544e-03,6.274574181586656729e-04,8.787681374021009961e-02
1.400000000000000133e+00,2.248497714677369710e-03,6.269317158260795690e-04,8.787169149302380411e-02
1.405000000000000027e+00,2.245431887278913526e-03,6.264175309961247723e-04,8.786648598214411021e-02
1.409999999999999920e+00,2.242436545131201893e-03,6.259145793795019329e-04,8.786119928403353374e-02
1.415000000000000036e+00,2.239509948335210911e-03,6.254225837468356357e-04,8.785583342386524275e-02
1.419999999999999929e+00,2.236650400011964707e-03,6.249412736508680845e-04,8.785039037678517293e-02
1.425000000000000044e+00,2.233856245192318048e-03,6.244703852612460988e-04,8.784487206918467628e-02
1.429999999999999938e+00,2.231125869743229295e-03,6.240096613028329369e-04,8.783928037988199267e-02
1.435000000000000053e+00,2.228457699370941028e-03,6.235588509319367522e-04,8.783361714127613240e-02
1.439999999999999947e+00,2.225850198656518456e-03,6.231177094974453502e-04,8.782788414052813963e-02
1.445000000000000062e+00,2.223301870122304080e-03,6.226859983233936713e-04,8.782208312067316114e-02
