t,S10,S11,T1
8.699999999999999956e-01,3.802690991113326889e-03,8.786094578158498225e-04,8.750698968805391276e-02
8.750000000000000000e-01,3.762171402172393830e-03,8.721281454561022502e-04,8.754961473640937575e-02
8.800000000000000044e-01,3.722649986777842347e-03,8.658064882032137470e-04,8.759107987836596554e-02
8.850000000000000089e-01,3.684102062706443199e-03,8.596405276239735401e-04,8.763141379439538803e-02
8.900000000000000133e-01,3.646503572577651248e-03,8.536264020989852005e-04,8.767064445505476367e-02
8.950000000000000178e-01,3.609831073716119557e-03,8.477603444944289968e-04,8.770879913828624752e-02
9.000000000000000222e-01,3.574061692814746016e-03,8.420386839103573056e-04,8.774590444707587589e-02
9.050000000000000266e-01,3.539173103528330065e-03,8.364578423859899336e-04,8.778198632617863206e-02
9.100000000000000311e-01,3.505143538118526796e-03,8.310143279879394704e-04,8.781707007818138899e-02
9.150000000000000355e-01,3.471951784313117521e-03,8.257047336866470480e-04,8.785118037935771285e-02
9.200000000000000400e-01,3.439577150531099824e-03,8.205257405464577150e-04,8.788434129567414266e-02
9.250000000000000444e-01,3.407999441003588779e-03,8.154741151222568395e-04,8.791657629763947879e-02
9.300000000000000488e-01,3.377198960352965212e-03,8.105467013415957895e-04,8.794790827480920836e-02
9.350000000000000533e-01,3.347156514110996833e-03,8.057404177311520716e-04,8.797835955060469282e-02
9.400000000000000577e-01,3.317853383449806143e-03,8.010522617275282276e-04,8.800795189629687099e-02
9.450000000000000622e-01,3.289271299805468507e-03,7.964793100335467975e-04,8.803670654448003674e-02
9.500000000000000666e-01,3.261392443214358988e-03,7.920187109514518087e-04,8.806464420238339919e-02
9.550000000000000711e-01,3.234199444711947490e-03,7.876676787434749773e-04,8.809178506527186314e-02
9.599999999999999645e-01,3.207675369154440199e-03,7.834234965855960998e-04,8.811814882888560629e-02
9.649999999999999689e-01,3.181803691284611126e-03,7.792835198185612145e-04,8.814375470160486226e-02
9.699999999999999734e-01,3.156568288584556212e-03,7.752451711014625695e-04,8.816862141689205123e-02
9.749999999999999778e-01,3.131953443851872177e-03,7.713059332186131874e-04,8.819276724500026143e-02
9.799999999999999822e-01,3.107943834576488810e-03,7.674633488097164832e-04,8.821621000425032555e-02
9.849999999999999867e-01,3.084524511968830124e-03,7.637150243170380635e-04,8.823896707222876612e-02
9.899999999999999911e-01,3.061680890129640786e-03,7.600586288453449165e-04,8.826105539700276892e-02
9.949999999999999956e-01,3.039398746872429367e-03,7.564918878643063591e-04,8.828249150754927110e-02
1.000000000000000000e+00,3.017664217797097394e-03,7.530125799685862377e-04,8.830329152395727244e-02
1.005000000000000115e+00,2.996463779298270871e-03,7.496185391473412108e-04,8.832347116787640784e-02
1.010000000000000009e+00,2.975784236223049783e-03,7.463076561357396893e-04,8.834304577230681077e-02
1.015000000000000124e+00,2.955612719949224625e-03,7.430778747148192136e-04,8.836203029107043971e-02
1.020000000000000018e+00,2.935936684834810489e-03,7.399271873606443929e-04,8.838043930821276595e-02
1.024999999999999911e+00,2.916743895652932749e-03,7.368536349921248410e-04,8.839828704739108312e-02
1.030000000000000027e+00,2.898022415410642181e-03,7.338553086118853415e-04,8.841558738062216261e-02
1.034999999999999920e+00,2.879760600981521364e-03,7.309303481683827658e-04,8.843235383684248940e-02
1.040000000000000036e+00,2.861947100030095420e-03,7.280769390539508371e-04,8.844859961067814969e-02
1.044999999999999929e+00,2.844570842222965672e-03,7.252933101672591823e-04,8.846433757064399439e-02
1.050000000000000044e+00,2.827621028389610321e-03,7.225777343155976576e-04,8.847958026708420409e-02
1.054999999999999938e+00,2.811087124536021126e-03,7.199285282569928323e-04,8.849433994007746551e-02
1.060000000000000053e+00,2.794958858544184261e-03,7.173440509023346155e-04,8.850862852729478314e-02
1.064999999999999947e+00,2.779226213711216784e-03,7.148227011927247004e-04,8.852245767133691545e-02
1.070000000000000062e+00,2.763879419706343800e-03,7.123629171504043634e-04,8.853583872691916934e-02
1.074999999999999956e+00,2.748908945999243778e-03,7.099631756548879661e-04,8.854878276823344163e-02
1.080000000000000071e+00,2.734305498295141069e-03,7.076219918636652770e-04,8.856130059581490688e-02
1.084999999999999964e+00,2.720060013272503161e-03,7.053379179436531634e-04,8.857340274320117668e-02
1.090000000000000080e+00,2.706163650971720250e-03,7.031095416326607530e-04,8.858509948358003760e-02
1.094999999999999973e+00,2.692607788579578880e-03,7.009354852180199212e-04,8.859640083636653729e-02
1.100000000000000089e+00,2.679384016703343502e-03,6.988144051005394522e-04,8.860731657335861600e-02
1.104999999999999982e+00,2.666484134792378429e-03,6.967449914188453578e-04,8.861785622476944790e-02
1.110000000000000098e+00,2.653900144503432493e-03,6.947259670529434611e-04,8.862802908540588775e-02
1.114999999999999991e+00,2.641624244113355367e-03,6.927560861953117313e-04,8.863784422042229882e-02
1.120000000000000107e+00,2.629648824861648658e-03,6.908341333714416912e-04,8.864731047090432248e-02
1.125000000000000000e+00,2.617966466834369121e-03,6.889589232771248239e-04,8.865643645946126583e-02
1.130000000000000115e+00,2.606569933239163018e-03,6.871293005483746809e-04,8.866523059572960219e-02
1.135000000000000009e+00,2.595452165203751115e-03,6.853441386267108623e-04,8.867370108153954655e-02
1.140000000000000124e+00,2.584606278262927600e-03,6.836023383070697007e-04,8.868185591597868567e-02
1.145000000000000018e+00,2.574025558733688841e-03,6.819028271435662774e-04,8.868970290058239558e-02
1.150000000000000133e+00,2.563703458906826244e-03,6.802445596098605001e-04,8.869724964414769930e-02
1.155000000000000027e+00,2.553633592109687267e-03,6.786265166576722560e-04,8.870450356742186349e-02
1.159999999999999920e+00,2.543809729134427922e-03,6.770477043218450525e-04,8.871147190780565017e-02
1.165000000000000036e+00,2.534225795219191037e-03,6.755071525916954596e-04,8.871816172395899369e-02
1.169999999999999929e+00,2.524875866062072094e-03,6.740039153509626204e-04,8.872457990013679630e-02
1.175000000000000044e+00,2.515754163230604201e-03,6.725370704711449397e-04,8.873073315044514853e-02
1.179999999999999938e+00,2.506855050462629842e-03,6.711057189541697098e-04,8.873662802318933729e-02
1.185000000000000053e+00,2.498173031056036015e-03,6.697089836330864191e-04,8.874227090491663972e-02
