t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
5.100000000000000089e-01,1.100791544100515745e-01,5.503957720502578735e+09,8.818312454313133827e-10,-6.674923927283876642e-09,-3.337461963641835609e+02,8.813877799970638860e-02,2.194037641034518593e-02,1.757617921290992636e-10
5.150000000000000133e-01,1.098735130549124278e-01,5.493675652745621681e+09,8.801838765603732923e-10,-6.506331118618548649e-09,-3.253165559309272794e+02,8.803713106531652066e-02,2.183638198959590715e-02,1.749287049741449764e-10
5.200000000000000178e-01,1.096730611628685403e-01,5.483653058143426895e+09,8.785780798720041481e-10,-6.342317049349122145e-09,-3.171158524674683576e+02,8.793811433671877564e-02,2.173494682614976470e-02,1.741161197304480479e-10
5.250000000000000222e-01,1.094776567607462225e-01,5.473882838037311554e+09,8.770127180356986171e-10,-6.182813960100470117e-09,-3.091406980050378479e+02,8.784165931537130101e-02,2.163599744537492153e-02,1.733234478013169577e-10
5.300000000000000266e-01,1.092871602684918203e-01,5.464358013424591064e+09,8.754866728919538021e-10,-6.027694407452395688e-09,-3.013847203726036241e+02,8.774769937142114229e-02,2.153946089707067801e-02,1.725501047912166057e-10
5.350000000000000311e-01,1.091014376673243441e-01,5.455071883366217613e+09,8.739988708319726897e-10,-5.876783293923371434e-09,-2.938391646961681545e+02,8.765616985170596176e-02,2.144526781561838236e-02,1.717955350202799402e-10
5.400000000000000355e-01,1.089203603059152037e-01,5.446018015295760155e+09,8.725482812449920635e-10,-5.729958290299835564e-09,-2.864979145150136901e+02,8.756700638328786257e-02,2.135335392262734111e-02,1.710592235618288518e-10
5.450000000000000400e-01,1.087438018006724461e-01,5.437190090033622742e+09,8.711338916868226140e-10,-5.587149420031641299e-09,-2.793574710015527671e+02,8.748014541736293115e-02,2.126365638330951491e-02,1.703406670537172452e-10
5.500000000000000444e-01,1.085716378678602545e-01,5.428581893393013000e+09,8.697547065349764091e-10,-5.448251696423918924e-09,-2.724125848211988341e+02,8.739552583131597607e-02,2.117611203654427843e-02,1.696393595195869555e-10
5.550000000000000488e-01,1.084037486766406960e-01,5.420187433832035065e+09,8.684097658386106876e-10,-5.313119767876683575e-09,-2.656559883938462008e+02,8.731308879290773650e-02,2.109065988373295952e-02,1.689548123067905175e-10
